166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,2
174,2
175,2
176,1
177,2
178,2
179,2
180,2
181,1
182,1
183,1
184,3
185,2
186,1
187,2
188,1
189,1
190,2
191,1
192,3
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,2
202,2
203,1
204,2
205,1
206,2
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,2
215,1
216,1
217,1
218,1
219,2
220,0
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,2
230,2
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,1
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,2
256,1
257,1
258,1
259,1
260,1
261,2
262,2
263,1
