100,4
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,2
109,1
110,2
111,2
112,1
113,1
114,1
115,2
116,1
117,3
118,2
119,1
120,2
121,2
122,2
123,2
124,2
125,1
126,1
127,1
128,1
129,1
130,2
131,1
132,1
133,2
134,2
135,2
136,1
137,1
138,1
139,1
140,1
141,3
142,2
143,4
144,1
145,1
146,1
147,1
148,2
149,1
150,2
151,0
152,1
153,2
154,1
155,2
156,0
157,2
158,1
159,0
160,0
161,1
162,2
163,1
164,2
165,1
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,1
64,1
65,1
66,2
67,2
68,1
69,1
70,2
71,1
72,2
73,1
74,2
75,2
76,1
77,1
78,1
79,2
80,1
81,2
82,4
83,2
84,2
85,2
86,1
87,1
88,2
89,2
90,1
91,2
92,1
93,2
94,2
95,4
96,1
97,2
98,1
99,1
